job_title,company,location,description,skills_list,date_posted
DevOps Engineer,Infosys,Hyderabad,"Looking for a candidate with experience in Tableau, Power BI, AWS, Node.js.","Tableau, Power BI, AWS, Node.js",2023-09-05
AI Engineer,Amazon,Chennai,"Looking for a candidate with experience in Spark, Pandas, React, Hadoop, Docker.","Spark, Pandas, React, Hadoop, Docker",2023-09-30
Backend Developer,Flipkart,Delhi,"Looking for a candidate with experience in Deep Learning, Java, NumPy, Power BI.","Deep Learning, Java, NumPy, Power BI",2024-01-23
NLP Engineer,Accenture,Hyderabad,"Looking for a candidate with experience in Hadoop, Machine Learning, PyTorch, Python, TensorFlow.","Hadoop, Machine Learning, PyTorch, Python, TensorFlow",2023-04-14
Data Scientist,Accenture,Delhi,"Looking for a candidate with experience in Java, PyTorch, Spark, SQL, TensorFlow, Docker, React.","Java, PyTorch, Spark, SQL, TensorFlow, Docker, React",2023-02-01
Machine Learning Engineer,Accenture,Pune,"Looking for a candidate with experience in Kubernetes, Hadoop, Java, Spark, Machine Learning, Scikit-learn, Pandas.","Kubernetes, Hadoop, Java, Spark, Machine Learning, Scikit-learn, Pandas",2023-10-28
Cloud Engineer,TCS,Bangalore,"Looking for a candidate with experience in SQL, Tableau, Hadoop, AWS, Pandas.","SQL, Tableau, Hadoop, AWS, Pandas",2024-04-18
Software Engineer,Adobe,Bangalore,"Looking for a candidate with experience in Node.js, Hadoop, Spark, Java, NLP, Machine Learning.","Node.js, Hadoop, Spark, Java, NLP, Machine Learning",2023-01-24
Data Analyst,Amazon,Chennai,"Looking for a candidate with experience in Node.js, NLP, PyTorch, Scikit-learn, React, Tableau.","Node.js, NLP, PyTorch, Scikit-learn, React, Tableau",2023-08-14
Cloud Engineer,Flipkart,Hyderabad,"Looking for a candidate with experience in PyTorch, Python, Machine Learning, Node.js, React.","PyTorch, Python, Machine Learning, Node.js, React",2024-03-22
Data Scientist,Flipkart,Chennai,"Looking for a candidate with experience in NLP, PyTorch, React, Python, Deep Learning.","NLP, PyTorch, React, Python, Deep Learning",2023-07-24
AI Engineer,Amazon,Delhi,"Looking for a candidate with experience in Scikit-learn, Machine Learning, Power BI, Pandas.","Scikit-learn, Machine Learning, Power BI, Pandas",2023-12-01
Backend Developer,Capgemini,Bangalore,"Looking for a candidate with experience in Tableau, Kubernetes, Machine Learning, Spark, NLP, AWS, TensorFlow.","Tableau, Kubernetes, Machine Learning, Spark, NLP, AWS, TensorFlow",2024-02-21
Backend Developer,Oracle,Hyderabad,"Looking for a candidate with experience in Kubernetes, Scikit-learn, Python, NLP.","Kubernetes, Scikit-learn, Python, NLP",2024-06-20
AI Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Scikit-learn, PyTorch, Python, Node.js.","Scikit-learn, PyTorch, Python, Node.js",2023-06-08
Data Analyst,Google,Bangalore,"Looking for a candidate with experience in Tableau, Deep Learning, Python, NumPy, AWS, Hadoop.","Tableau, Deep Learning, Python, NumPy, AWS, Hadoop",2024-07-28
Data Scientist,Microsoft,Hyderabad,"Looking for a candidate with experience in Node.js, Power BI, Scikit-learn, SQL, Python.","Node.js, Power BI, Scikit-learn, SQL, Python",2023-06-14
Cloud Engineer,Oracle,Mumbai,"Looking for a candidate with experience in Power BI, Deep Learning, SQL, React, Spark, NLP, Tableau.","Power BI, Deep Learning, SQL, React, Spark, NLP, Tableau",2023-02-22
Software Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in Machine Learning, NumPy, React, SQL.","Machine Learning, NumPy, React, SQL",2023-09-12
DevOps Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in AWS, Deep Learning, PyTorch, NLP, React, Kubernetes.","AWS, Deep Learning, PyTorch, NLP, React, Kubernetes",2024-05-24
Data Analyst,Oracle,Hyderabad,"Looking for a candidate with experience in NLP, AWS, Machine Learning, Power BI, Pandas.","NLP, AWS, Machine Learning, Power BI, Pandas",2023-06-16
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in Python, Tableau, Pandas, Node.js, NLP, SQL, Kubernetes.","Python, Tableau, Pandas, Node.js, NLP, SQL, Kubernetes",2023-01-22
AI Engineer,TCS,Pune,"Looking for a candidate with experience in Hadoop, React, Power BI, PyTorch.","Hadoop, React, Power BI, PyTorch",2023-06-25
Full Stack Developer,TCS,Hyderabad,"Looking for a candidate with experience in Machine Learning, Power BI, Java, Spark.","Machine Learning, Power BI, Java, Spark",2024-01-06
Full Stack Developer,Adobe,Delhi,"Looking for a candidate with experience in SQL, TensorFlow, Power BI, Spark.","SQL, TensorFlow, Power BI, Spark",2024-04-12
Data Analyst,TCS,Pune,"Looking for a candidate with experience in Pandas, Spark, Power BI, NLP.","Pandas, Spark, Power BI, NLP",2024-05-29
Full Stack Developer,TCS,Chennai,"Looking for a candidate with experience in Tableau, Scikit-learn, Kubernetes, React, NumPy.","Tableau, Scikit-learn, Kubernetes, React, NumPy",2024-08-17
DevOps Engineer,Oracle,Bangalore,"Looking for a candidate with experience in Python, NLP, Kubernetes, Spark, Java, Deep Learning, NumPy.","Python, NLP, Kubernetes, Spark, Java, Deep Learning, NumPy",2024-02-03
AI Engineer,Flipkart,Pune,"Looking for a candidate with experience in Machine Learning, PyTorch, AWS, Java.","Machine Learning, PyTorch, AWS, Java",2023-08-14
NLP Engineer,Meta,Delhi,"Looking for a candidate with experience in TensorFlow, SQL, Python, Kubernetes, Node.js, PyTorch.","TensorFlow, SQL, Python, Kubernetes, Node.js, PyTorch",2024-03-27
Full Stack Developer,Infosys,Mumbai,"Looking for a candidate with experience in Power BI, Spark, Deep Learning, Scikit-learn, AWS, SQL.","Power BI, Spark, Deep Learning, Scikit-learn, AWS, SQL",2023-04-30
Cloud Engineer,Accenture,Bangalore,"Looking for a candidate with experience in Pandas, Kubernetes, Power BI, Tableau.","Pandas, Kubernetes, Power BI, Tableau",2024-09-18
AI Engineer,Meta,Hyderabad,"Looking for a candidate with experience in Power BI, TensorFlow, Hadoop, Node.js, PyTorch, Tableau.","Power BI, TensorFlow, Hadoop, Node.js, PyTorch, Tableau",2023-09-19
Machine Learning Engineer,Amazon,Chennai,"Looking for a candidate with experience in Machine Learning, Kubernetes, Scikit-learn, Tableau, Deep Learning, Hadoop.","Machine Learning, Kubernetes, Scikit-learn, Tableau, Deep Learning, Hadoop",2023-04-27
Machine Learning Engineer,Microsoft,Pune,"Looking for a candidate with experience in NumPy, Python, PyTorch, Power BI, AWS.","NumPy, Python, PyTorch, Power BI, AWS",2024-10-01
Cloud Engineer,Adobe,Mumbai,"Looking for a candidate with experience in AWS, TensorFlow, NLP, Machine Learning, PyTorch, Java, React.","AWS, TensorFlow, NLP, Machine Learning, PyTorch, Java, React",2024-07-01
NLP Engineer,Accenture,Bangalore,"Looking for a candidate with experience in SQL, NumPy, Scikit-learn, AWS, Node.js, Python, Deep Learning.","SQL, NumPy, Scikit-learn, AWS, Node.js, Python, Deep Learning",2024-06-10
Data Analyst,Flipkart,Bangalore,"Looking for a candidate with experience in Kubernetes, Docker, React, Java, Machine Learning, Spark, NumPy.","Kubernetes, Docker, React, Java, Machine Learning, Spark, NumPy",2024-05-01
AI Engineer,IBM,Mumbai,"Looking for a candidate with experience in Pandas, NLP, NumPy, Kubernetes.","Pandas, NLP, NumPy, Kubernetes",2023-09-25
Backend Developer,TCS,Bangalore,"Looking for a candidate with experience in Tableau, SQL, Deep Learning, Power BI, Hadoop, NumPy, Scikit-learn.","Tableau, SQL, Deep Learning, Power BI, Hadoop, NumPy, Scikit-learn",2024-06-02
Data Analyst,Infosys,Hyderabad,"Looking for a candidate with experience in NumPy, React, Spark, TensorFlow, Hadoop.","NumPy, React, Spark, TensorFlow, Hadoop",2024-10-31
AI Engineer,Meta,Chennai,"Looking for a candidate with experience in NumPy, Tableau, Scikit-learn, Node.js.","NumPy, Tableau, Scikit-learn, Node.js",2023-12-10
Cloud Engineer,Microsoft,Bangalore,"Looking for a candidate with experience in NumPy, Docker, React, Kubernetes, Hadoop, Power BI, Pandas.","NumPy, Docker, React, Kubernetes, Hadoop, Power BI, Pandas",2024-05-07
Data Analyst,Meta,Pune,"Looking for a candidate with experience in AWS, NumPy, PyTorch, Java, Kubernetes, Pandas, Deep Learning.","AWS, NumPy, PyTorch, Java, Kubernetes, Pandas, Deep Learning",2024-09-25
NLP Engineer,Infosys,Delhi,"Looking for a candidate with experience in Hadoop, SQL, TensorFlow, NumPy, Spark.","Hadoop, SQL, TensorFlow, NumPy, Spark",2024-02-13
Full Stack Developer,Infosys,Pune,"Looking for a candidate with experience in Kubernetes, React, Spark, Python.","Kubernetes, React, Spark, Python",2023-01-18
Data Scientist,Oracle,Chennai,"Looking for a candidate with experience in Scikit-learn, React, NumPy, Java, Tableau, PyTorch.","Scikit-learn, React, NumPy, Java, Tableau, PyTorch",2024-11-02
Software Engineer,Meta,Pune,"Looking for a candidate with experience in Node.js, Docker, PyTorch, Kubernetes.","Node.js, Docker, PyTorch, Kubernetes",2023-12-31
NLP Engineer,Meta,Mumbai,"Looking for a candidate with experience in Pandas, AWS, React, Python, Spark, Machine Learning.","Pandas, AWS, React, Python, Spark, Machine Learning",2024-09-16
NLP Engineer,Capgemini,Mumbai,"Looking for a candidate with experience in PyTorch, Spark, Pandas, NLP, SQL, Scikit-learn, Java.","PyTorch, Spark, Pandas, NLP, SQL, Scikit-learn, Java",2023-04-03
Data Scientist,Capgemini,Mumbai,"Looking for a candidate with experience in Python, Hadoop, Java, Kubernetes.","Python, Hadoop, Java, Kubernetes",2024-08-31
AI Engineer,Adobe,Mumbai,"Looking for a candidate with experience in NLP, Pandas, AWS, Kubernetes.","NLP, Pandas, AWS, Kubernetes",2023-08-25
Software Engineer,IBM,Chennai,"Looking for a candidate with experience in Node.js, Docker, NumPy, Machine Learning, Scikit-learn, Deep Learning.","Node.js, Docker, NumPy, Machine Learning, Scikit-learn, Deep Learning",2024-04-17
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in SQL, NumPy, Node.js, TensorFlow, React.","SQL, NumPy, Node.js, TensorFlow, React",2023-02-21
Software Engineer,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, NLP, Pandas, Deep Learning, TensorFlow, Python, React.","PyTorch, NLP, Pandas, Deep Learning, TensorFlow, Python, React",2023-07-20
Data Analyst,IBM,Bangalore,"Looking for a candidate with experience in Machine Learning, Java, Docker, Pandas, Spark.","Machine Learning, Java, Docker, Pandas, Spark",2023-07-22
Software Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Tableau, TensorFlow, Kubernetes, NumPy.","Tableau, TensorFlow, Kubernetes, NumPy",2024-03-25
NLP Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in Power BI, Node.js, NLP, Docker.","Power BI, Node.js, NLP, Docker",2023-02-22
Data Analyst,TCS,Bangalore,"Looking for a candidate with experience in Power BI, Kubernetes, PyTorch, SQL.","Power BI, Kubernetes, PyTorch, SQL",2023-12-05
Software Engineer,Meta,Delhi,"Looking for a candidate with experience in TensorFlow, Pandas, NLP, SQL, PyTorch, Docker, Node.js.","TensorFlow, Pandas, NLP, SQL, PyTorch, Docker, Node.js",2024-01-24
Cloud Engineer,Google,Mumbai,"Looking for a candidate with experience in PyTorch, Kubernetes, Machine Learning, SQL.","PyTorch, Kubernetes, Machine Learning, SQL",2024-08-10
Full Stack Developer,Meta,Hyderabad,"Looking for a candidate with experience in Kubernetes, Python, Machine Learning, NLP.","Kubernetes, Python, Machine Learning, NLP",2024-09-04
Software Engineer,Google,Pune,"Looking for a candidate with experience in Kubernetes, PyTorch, Java, NLP, Python.","Kubernetes, PyTorch, Java, NLP, Python",2024-01-11
Cloud Engineer,Accenture,Chennai,"Looking for a candidate with experience in Kubernetes, AWS, PyTorch, Deep Learning, NLP, Tableau.","Kubernetes, AWS, PyTorch, Deep Learning, NLP, Tableau",2024-07-09
NLP Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Java, NumPy, Spark, Pandas, SQL.","Java, NumPy, Spark, Pandas, SQL",2023-01-18
Cloud Engineer,Infosys,Pune,"Looking for a candidate with experience in Power BI, AWS, Scikit-learn, Docker, PyTorch, Machine Learning, Node.js.","Power BI, AWS, Scikit-learn, Docker, PyTorch, Machine Learning, Node.js",2024-09-04
Data Analyst,Meta,Hyderabad,"Looking for a candidate with experience in Kubernetes, Deep Learning, NumPy, React.","Kubernetes, Deep Learning, NumPy, React",2023-10-14
Data Scientist,Google,Chennai,"Looking for a candidate with experience in Power BI, Python, React, Tableau, Spark, Node.js, Deep Learning.","Power BI, Python, React, Tableau, Spark, Node.js, Deep Learning",2024-10-15
Data Scientist,Amazon,Hyderabad,"Looking for a candidate with experience in AWS, NumPy, Deep Learning, SQL, Machine Learning, Python, Java.","AWS, NumPy, Deep Learning, SQL, Machine Learning, Python, Java",2024-05-19
Data Analyst,Google,Bangalore,"Looking for a candidate with experience in Power BI, SQL, Java, Pandas.","Power BI, SQL, Java, Pandas",2023-12-21
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in TensorFlow, Docker, PyTorch, Pandas.","TensorFlow, Docker, PyTorch, Pandas",2023-02-25
Software Engineer,Google,Delhi,"Looking for a candidate with experience in SQL, Node.js, Java, PyTorch.","SQL, Node.js, Java, PyTorch",2023-07-31
DevOps Engineer,Accenture,Mumbai,"Looking for a candidate with experience in SQL, Node.js, Spark, Java, Docker, React.","SQL, Node.js, Spark, Java, Docker, React",2024-06-18
Full Stack Developer,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, NumPy, NLP, Tableau, Docker, Kubernetes.","PyTorch, NumPy, NLP, Tableau, Docker, Kubernetes",2023-06-07
Full Stack Developer,Accenture,Chennai,"Looking for a candidate with experience in Docker, Node.js, NLP, NumPy, Deep Learning.","Docker, Node.js, NLP, NumPy, Deep Learning",2024-01-16
NLP Engineer,Adobe,Pune,"Looking for a candidate with experience in Spark, Hadoop, Pandas, Tableau, PyTorch, NLP, SQL.","Spark, Hadoop, Pandas, Tableau, PyTorch, NLP, SQL",2023-12-01
NLP Engineer,Meta,Chennai,"Looking for a candidate with experience in Python, NLP, Hadoop, Deep Learning, PyTorch, Tableau, Spark.","Python, NLP, Hadoop, Deep Learning, PyTorch, Tableau, Spark",2023-12-28
Full Stack Developer,Flipkart,Mumbai,"Looking for a candidate with experience in NLP, AWS, Kubernetes, Spark, Python, React, Machine Learning.","NLP, AWS, Kubernetes, Spark, Python, React, Machine Learning",2023-11-25
Cloud Engineer,Microsoft,Pune,"Looking for a candidate with experience in AWS, Spark, Kubernetes, Pandas, Python, SQL.","AWS, Spark, Kubernetes, Pandas, Python, SQL",2023-05-11
Full Stack Developer,IBM,Delhi,"Looking for a candidate with experience in Docker, TensorFlow, Java, Scikit-learn, PyTorch, NumPy.","Docker, TensorFlow, Java, Scikit-learn, PyTorch, NumPy",2023-12-22
NLP Engineer,Meta,Chennai,"Looking for a candidate with experience in PyTorch, Pandas, NumPy, SQL, Tableau.","PyTorch, Pandas, NumPy, SQL, Tableau",2024-06-28
Backend Developer,Meta,Chennai,"Looking for a candidate with experience in Hadoop, NumPy, Spark, Docker, Power BI.","Hadoop, NumPy, Spark, Docker, Power BI",2024-08-13
Backend Developer,Amazon,Delhi,"Looking for a candidate with experience in Tableau, Scikit-learn, TensorFlow, NLP.","Tableau, Scikit-learn, TensorFlow, NLP",2023-06-17
DevOps Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in SQL, Power BI, React, Deep Learning, NumPy, AWS, Pandas.","SQL, Power BI, React, Deep Learning, NumPy, AWS, Pandas",2023-09-12
Software Engineer,Oracle,Mumbai,"Looking for a candidate with experience in Deep Learning, React, Python, Java, NLP, Node.js, NumPy.","Deep Learning, React, Python, Java, NLP, Node.js, NumPy",2023-04-16
Cloud Engineer,Microsoft,Delhi,"Looking for a candidate with experience in TensorFlow, Kubernetes, React, AWS, Spark.","TensorFlow, Kubernetes, React, AWS, Spark",2024-10-14
AI Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in Scikit-learn, Machine Learning, Spark, Python.","Scikit-learn, Machine Learning, Spark, Python",2023-07-24
Machine Learning Engineer,Microsoft,Pune,"Looking for a candidate with experience in Spark, SQL, NumPy, Hadoop, React.","Spark, SQL, NumPy, Hadoop, React",2023-12-03
Machine Learning Engineer,Capgemini,Delhi,"Looking for a candidate with experience in TensorFlow, React, NLP, Power BI.","TensorFlow, React, NLP, Power BI",2023-09-07
Data Scientist,Google,Delhi,"Looking for a candidate with experience in React, Pandas, Kubernetes, TensorFlow, Docker, Node.js, Hadoop.","React, Pandas, Kubernetes, TensorFlow, Docker, Node.js, Hadoop",2024-03-08
Backend Developer,IBM,Hyderabad,"Looking for a candidate with experience in Spark, Hadoop, AWS, Python.","Spark, Hadoop, AWS, Python",2024-06-30
NLP Engineer,Accenture,Pune,"Looking for a candidate with experience in NumPy, Spark, Hadoop, Deep Learning, Scikit-learn, Machine Learning, Python.","NumPy, Spark, Hadoop, Deep Learning, Scikit-learn, Machine Learning, Python",2023-09-04
NLP Engineer,Google,Pune,"Looking for a candidate with experience in Java, NLP, Machine Learning, Scikit-learn, AWS, Python.","Java, NLP, Machine Learning, Scikit-learn, AWS, Python",2023-03-19
NLP Engineer,Google,Pune,"Looking for a candidate with experience in NLP, Scikit-learn, React, Node.js.","NLP, Scikit-learn, React, Node.js",2024-11-01
Software Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in Docker, Tableau, Node.js, Hadoop, SQL, PyTorch, TensorFlow.","Docker, Tableau, Node.js, Hadoop, SQL, PyTorch, TensorFlow",2024-01-20
Full Stack Developer,Oracle,Delhi,"Looking for a candidate with experience in Deep Learning, SQL, Hadoop, TensorFlow, Scikit-learn, Docker, React.","Deep Learning, SQL, Hadoop, TensorFlow, Scikit-learn, Docker, React",2023-01-13
Cloud Engineer,Amazon,Chennai,"Looking for a candidate with experience in Hadoop, TensorFlow, Tableau, NumPy, Scikit-learn.","Hadoop, TensorFlow, Tableau, NumPy, Scikit-learn",2023-03-03
NLP Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in Node.js, Spark, Power BI, Kubernetes, Docker, Deep Learning, NumPy.","Node.js, Spark, Power BI, Kubernetes, Docker, Deep Learning, NumPy",2024-07-27
Backend Developer,Google,Chennai,"Looking for a candidate with experience in Docker, Kubernetes, Python, Spark, PyTorch, Machine Learning.","Docker, Kubernetes, Python, Spark, PyTorch, Machine Learning",2023-11-11
DevOps Engineer,Adobe,Chennai,"Looking for a candidate with experience in React, NLP, Scikit-learn, NumPy.","React, NLP, Scikit-learn, NumPy",2023-12-19
DevOps Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Scikit-learn, Deep Learning, AWS, TensorFlow, Spark.","Scikit-learn, Deep Learning, AWS, TensorFlow, Spark",2023-12-16
Software Engineer,Meta,Chennai,"Looking for a candidate with experience in Scikit-learn, Docker, SQL, Node.js, Machine Learning, AWS.","Scikit-learn, Docker, SQL, Node.js, Machine Learning, AWS",2023-07-03
Backend Developer,Amazon,Chennai,"Looking for a candidate with experience in AWS, React, NLP, PyTorch.","AWS, React, NLP, PyTorch",2023-10-19
Backend Developer,Meta,Delhi,"Looking for a candidate with experience in Deep Learning, Scikit-learn, Machine Learning, NumPy.","Deep Learning, Scikit-learn, Machine Learning, NumPy",2023-02-09
DevOps Engineer,Capgemini,Delhi,"Looking for a candidate with experience in TensorFlow, Kubernetes, Docker, PyTorch, Power BI, SQL, Machine Learning.","TensorFlow, Kubernetes, Docker, PyTorch, Power BI, SQL, Machine Learning",2023-01-08
Data Analyst,Google,Chennai,"Looking for a candidate with experience in Tableau, Machine Learning, AWS, PyTorch, Spark.","Tableau, Machine Learning, AWS, PyTorch, Spark",2024-05-11
NLP Engineer,Amazon,Mumbai,"Looking for a candidate with experience in Scikit-learn, React, TensorFlow, Docker.","Scikit-learn, React, TensorFlow, Docker",2023-12-06
DevOps Engineer,Microsoft,Mumbai,"Looking for a candidate with experience in Hadoop, Deep Learning, Power BI, Pandas.","Hadoop, Deep Learning, Power BI, Pandas",2023-05-26
Full Stack Developer,Accenture,Pune,"Looking for a candidate with experience in TensorFlow, Deep Learning, Tableau, SQL, AWS, PyTorch, Docker.","TensorFlow, Deep Learning, Tableau, SQL, AWS, PyTorch, Docker",2024-01-14
AI Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Pandas, Python, Deep Learning, Docker.","Pandas, Python, Deep Learning, Docker",2023-10-26
Cloud Engineer,IBM,Chennai,"Looking for a candidate with experience in SQL, Kubernetes, Spark, Node.js, Java, Machine Learning.","SQL, Kubernetes, Spark, Node.js, Java, Machine Learning",2023-10-06
DevOps Engineer,Oracle,Mumbai,"Looking for a candidate with experience in PyTorch, Scikit-learn, Docker, Kubernetes, React, Pandas, Node.js.","PyTorch, Scikit-learn, Docker, Kubernetes, React, Pandas, Node.js",2023-08-16
Data Scientist,Oracle,Chennai,"Looking for a candidate with experience in Docker, Python, Machine Learning, Java, TensorFlow, NLP, PyTorch.","Docker, Python, Machine Learning, Java, TensorFlow, NLP, PyTorch",2024-01-05
Data Scientist,IBM,Bangalore,"Looking for a candidate with experience in Spark, NumPy, Power BI, Python, Deep Learning, Java, SQL.","Spark, NumPy, Power BI, Python, Deep Learning, Java, SQL",2023-12-23
AI Engineer,Meta,Chennai,"Looking for a candidate with experience in Hadoop, PyTorch, Python, Deep Learning, Spark.","Hadoop, PyTorch, Python, Deep Learning, Spark",2023-06-27
Data Scientist,IBM,Chennai,"Looking for a candidate with experience in Deep Learning, NLP, Python, Kubernetes, SQL, Power BI, Docker.","Deep Learning, NLP, Python, Kubernetes, SQL, Power BI, Docker",2024-06-12
Data Analyst,IBM,Delhi,"Looking for a candidate with experience in TensorFlow, Deep Learning, PyTorch, Java, Python.","TensorFlow, Deep Learning, PyTorch, Java, Python",2023-12-22
Software Engineer,Flipkart,Pune,"Looking for a candidate with experience in Kubernetes, Java, Hadoop, Deep Learning, Node.js.","Kubernetes, Java, Hadoop, Deep Learning, Node.js",2024-09-13
Cloud Engineer,Google,Chennai,"Looking for a candidate with experience in Spark, Kubernetes, Node.js, AWS.","Spark, Kubernetes, Node.js, AWS",2023-04-07
DevOps Engineer,Accenture,Mumbai,"Looking for a candidate with experience in AWS, Power BI, Python, Tableau.","AWS, Power BI, Python, Tableau",2023-05-22
Data Scientist,Amazon,Delhi,"Looking for a candidate with experience in TensorFlow, Power BI, Python, NLP, Java, Machine Learning.","TensorFlow, Power BI, Python, NLP, Java, Machine Learning",2023-05-12
Software Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in Tableau, PyTorch, Node.js, Kubernetes, Spark, SQL, React.","Tableau, PyTorch, Node.js, Kubernetes, Spark, SQL, React",2024-03-06
AI Engineer,Oracle,Hyderabad,"Looking for a candidate with experience in PyTorch, Scikit-learn, Kubernetes, NumPy.","PyTorch, Scikit-learn, Kubernetes, NumPy",2024-08-26
Software Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Deep Learning, TensorFlow, AWS, Hadoop.","Deep Learning, TensorFlow, AWS, Hadoop",2023-02-24
Full Stack Developer,TCS,Delhi,"Looking for a candidate with experience in PyTorch, Kubernetes, Scikit-learn, Spark, Tableau, Node.js.","PyTorch, Kubernetes, Scikit-learn, Spark, Tableau, Node.js",2024-04-14
Backend Developer,Meta,Pune,"Looking for a candidate with experience in Docker, Spark, NumPy, NLP.","Docker, Spark, NumPy, NLP",2023-09-16
Backend Developer,Meta,Hyderabad,"Looking for a candidate with experience in PyTorch, TensorFlow, Python, Scikit-learn, React, Pandas.","PyTorch, TensorFlow, Python, Scikit-learn, React, Pandas",2023-12-17
Full Stack Developer,Meta,Delhi,"Looking for a candidate with experience in SQL, Pandas, React, Tableau.","SQL, Pandas, React, Tableau",2024-09-15
Backend Developer,Microsoft,Delhi,"Looking for a candidate with experience in Spark, Node.js, Deep Learning, Pandas, React, AWS.","Spark, Node.js, Deep Learning, Pandas, React, AWS",2024-07-19
Data Scientist,Microsoft,Pune,"Looking for a candidate with experience in Pandas, NLP, Node.js, Hadoop, Tableau.","Pandas, NLP, Node.js, Hadoop, Tableau",2023-12-17
Data Scientist,Flipkart,Pune,"Looking for a candidate with experience in SQL, Hadoop, Spark, NumPy, AWS, Tableau, Scikit-learn.","SQL, Hadoop, Spark, NumPy, AWS, Tableau, Scikit-learn",2023-08-11
NLP Engineer,IBM,Delhi,"Looking for a candidate with experience in Spark, NumPy, Machine Learning, React.","Spark, NumPy, Machine Learning, React",2024-04-29
Software Engineer,Google,Hyderabad,"Looking for a candidate with experience in AWS, React, Machine Learning, Scikit-learn, Power BI, Node.js, Pandas.","AWS, React, Machine Learning, Scikit-learn, Power BI, Node.js, Pandas",2024-04-14
Software Engineer,Accenture,Bangalore,"Looking for a candidate with experience in Python, NumPy, Scikit-learn, Machine Learning, TensorFlow, Docker.","Python, NumPy, Scikit-learn, Machine Learning, TensorFlow, Docker",2024-10-17
Backend Developer,Infosys,Chennai,"Looking for a candidate with experience in PyTorch, Power BI, Docker, Kubernetes, TensorFlow, NLP, AWS.","PyTorch, Power BI, Docker, Kubernetes, TensorFlow, NLP, AWS",2024-08-17
Machine Learning Engineer,Adobe,Mumbai,"Looking for a candidate with experience in Spark, Pandas, Java, Docker, Python, NLP.","Spark, Pandas, Java, Docker, Python, NLP",2023-08-05
Full Stack Developer,Amazon,Hyderabad,"Looking for a candidate with experience in AWS, Kubernetes, PyTorch, Docker, React.","AWS, Kubernetes, PyTorch, Docker, React",2023-07-18
Backend Developer,Oracle,Pune,"Looking for a candidate with experience in Tableau, Python, Node.js, Java.","Tableau, Python, Node.js, Java",2024-02-18
Data Scientist,Flipkart,Pune,"Looking for a candidate with experience in Python, Spark, Hadoop, Kubernetes.","Python, Spark, Hadoop, Kubernetes",2023-10-03
Data Analyst,Flipkart,Hyderabad,"Looking for a candidate with experience in TensorFlow, Spark, Machine Learning, Kubernetes.","TensorFlow, Spark, Machine Learning, Kubernetes",2024-05-18
DevOps Engineer,Oracle,Delhi,"Looking for a candidate with experience in Machine Learning, React, Kubernetes, NumPy, PyTorch, SQL, TensorFlow.","Machine Learning, React, Kubernetes, NumPy, PyTorch, SQL, TensorFlow",2023-10-05
Full Stack Developer,Adobe,Chennai,"Looking for a candidate with experience in Machine Learning, Docker, TensorFlow, Power BI, Spark, SQL, AWS.","Machine Learning, Docker, TensorFlow, Power BI, Spark, SQL, AWS",2024-11-05
Backend Developer,Capgemini,Pune,"Looking for a candidate with experience in Power BI, NumPy, Hadoop, Deep Learning, SQL, Python.","Power BI, NumPy, Hadoop, Deep Learning, SQL, Python",2023-07-27
AI Engineer,Amazon,Delhi,"Looking for a candidate with experience in Node.js, Python, Deep Learning, PyTorch, Pandas, TensorFlow, Docker.","Node.js, Python, Deep Learning, PyTorch, Pandas, TensorFlow, Docker",2024-11-27
Software Engineer,Microsoft,Bangalore,"Looking for a candidate with experience in AWS, Docker, TensorFlow, Java, Node.js, Pandas, Deep Learning.","AWS, Docker, TensorFlow, Java, Node.js, Pandas, Deep Learning",2024-01-09
Full Stack Developer,Google,Mumbai,"Looking for a candidate with experience in Docker, Machine Learning, SQL, Pandas.","Docker, Machine Learning, SQL, Pandas",2024-07-24
Cloud Engineer,Accenture,Bangalore,"Looking for a candidate with experience in PyTorch, TensorFlow, Hadoop, NumPy, Power BI, Python, Tableau.","PyTorch, TensorFlow, Hadoop, NumPy, Power BI, Python, Tableau",2024-01-10
Cloud Engineer,Microsoft,Pune,"Looking for a candidate with experience in Kubernetes, Pandas, TensorFlow, Docker, AWS, React.","Kubernetes, Pandas, TensorFlow, Docker, AWS, React",2024-04-30
